Month,Football: (United States),American football: (United States)
2004-01,13,9
2004-02,13,7
2004-03,13,5
2004-04,14,5
2004-05,14,5
2004-06,16,6
2004-07,15,9
2004-08,23,20
2004-09,25,34
2004-10,22,27
2004-11,20,23
2004-12,14,15
2005-01,13,11
2005-02,13,8
2005-03,13,5
2005-04,14,7
2005-05,14,6
2005-06,14,7
2005-07,13,10
2005-08,20,22
2005-09,27,39
2005-10,25,33
2005-11,21,30
2005-12,15,17
2006-01,14,13
2006-02,14,7
2006-03,13,5
2006-04,14,7
2006-05,18,6
2006-06,35,7
2006-07,21,11
2006-08,22,24
2006-09,29,47
2006-10,24,34
2006-11,21,32
2006-12,14,18
2007-01,13,13
2007-02,13,7
2007-03,13,6
2007-04,13,6
2007-05,15,6
2007-06,16,7
2007-07,16,11
2007-08,23,25
2007-09,31,49
2007-10,25,36
2007-11,22,31
2007-12,15,19
2008-01,14,12
2008-02,13,7
2008-03,13,5
2008-04,15,6
2008-05,15,6
2008-06,18,7
2008-07,14,11
2008-08,23,27
2008-09,28,43
2008-10,23,33
2008-11,22,34
2008-12,15,18
2009-01,14,12
2009-02,14,8
2009-03,14,6
2009-04,14,7
2009-05,16,6
2009-06,17,6
2009-07,15,10
2009-08,22,23
2009-09,29,48
2009-10,26,35
2009-11,25,35
2009-12,16,20
2010-01,15,13
2010-02,14,7
2010-03,15,6
2010-04,16,7
2010-05,19,6
2010-06,34,7
2010-07,21,9
2010-08,22,22
2010-09,29,48
2010-10,27,41
2010-11,24,36
2010-12,17,20
2011-01,14,17
2011-02,13,9
2011-03,13,6
2011-04,13,7
2011-05,14,6
2011-06,16,7
2011-07,19,11
2011-08,21,26
2011-09,29,59
2011-10,26,49
2011-11,24,47
2011-12,16,25
2012-01,14,17
2012-02,13,9
2012-03,14,7
2012-04,14,7
2012-05,15,7
2012-06,18,7
2012-07,16,11
2012-08,24,30
2012-09,30,62
2012-10,26,48
2012-11,23,44
2012-12,16,23
2013-01,15,16
2013-02,14,9
2013-03,14,6
2013-04,14,7
2013-05,15,6
2013-06,15,7
2013-07,15,12
2013-08,22,35
2013-09,31,65
2013-10,25,49
2013-11,24,50
2013-12,17,29
2014-01,15,16
2014-02,14,8
2014-03,13,6
2014-04,15,7
2014-05,17,7
2014-06,38,7
2014-07,25,11
2014-08,23,37
2014-09,31,64
2014-10,28,52
2014-11,25,55
2014-12,18,30
2015-01,16,20
2015-02,15,9
2015-03,15,6
2015-04,15,7
2015-05,16,7
2015-06,18,8
2015-07,18,11
2015-08,22,29
2015-09,33,83
2015-10,29,63
2015-11,27,61
2015-12,18,31
2016-01,15,22
2016-02,14,10
2016-03,14,7
2016-04,15,8
2016-05,15,7
2016-06,20,8
2016-07,14,11
2016-08,25,29
2016-09,32,83
2016-10,28,75
2016-11,25,64
2016-12,16,35
2017-01,14,21
2017-02,13,9
2017-03,13,7
2017-04,13,8
2017-05,12,7
2017-06,13,8
2017-07,14,12
2017-08,20,31
2017-09,31,86
2017-10,28,73
2017-11,24,77
2017-12,15,40
2018-01,14,22
2018-02,13,9
2018-03,12,7
2018-04,13,9
2018-05,13,8
2018-06,23,9
2018-07,22,12
2018-08,22,36
2018-09,33,100
2018-10,27,73
2018-11,25,75
2018-12,16,42
2019-01,13,21
2019-02,13,11
2019-03,13,8
2019-04,12,9
2019-05,12,8
2019-06,22,9
2019-07,21,13
2019-08,22,44
2019-09,32,90
2019-10,27,72
2019-11,28,76
2019-12,16,47
2020-01,14,21
2020-02,12,10
2020-03,8,6
2020-04,6,7
2020-05,6,7
2020-06,7,7
2020-07,8,8
2020-08,11,14
2020-09,17,35
2020-10,17,49
2020-11,15,46
2020-12,12,42
2021-01,11,25
2021-02,11,10
2021-03,11,9
2021-04,12,9
2021-05,11,8
2021-06,15,8
2021-07,18,10
2021-08,20,25
2021-09,30,92
2021-10,24,70
2021-11,22,62
